Date : 2024-02-13 18:56:05
Directory : /Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d
Total : 143 files,  11237 codes, 1420 comments, 4456 blanks, all 17113 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        142 |     11,234 |      1,420 |      4,452 |     17,106 |
| JSON     |          1 |          3 |          0 |          4 |          7 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                  |        143 |     11,237 |      1,420 |      4,456 |     17,113 |
| . (Files)                                                                                                                                                          |          5 |        123 |          6 |         50 |        179 |
| ressurser                                                                                                                                                          |        138 |     11,114 |      1,414 |      4,406 |     16,934 |
| ressurser/Tiles                                                                                                                                                    |          3 |        306 |         79 |        169 |        554 |
| ressurser/baseEntity                                                                                                                                               |         21 |        826 |        133 |        442 |      1,401 |
| ressurser/baseEntity (Files)                                                                                                                                       |          9 |        265 |         61 |        172 |        498 |
| ressurser/baseEntity/gameObjects                                                                                                                                   |          3 |         82 |          5 |         43 |        130 |
| ressurser/baseEntity/inventory                                                                                                                                     |          3 |         56 |         15 |         22 |         93 |
| ressurser/baseEntity/sprite                                                                                                                                        |          2 |         79 |         14 |         45 |        138 |
| ressurser/baseEntity/tile                                                                                                                                          |          4 |        344 |         38 |        160 |        542 |
| ressurser/chunkSystem                                                                                                                                              |         14 |      2,443 |        454 |        808 |      3,705 |
| ressurser/chunkSystem (Files)                                                                                                                                      |          7 |        629 |        186 |        309 |      1,124 |
| ressurser/chunkSystem/terrainGeneration                                                                                                                            |          7 |      1,814 |        268 |        499 |      2,581 |
| ressurser/drawing                                                                                                                                                  |          2 |        157 |         20 |         72 |        249 |
| ressurser/entity                                                                                                                                                   |          7 |        539 |         69 |        255 |        863 |
| ressurser/entity (Files)                                                                                                                                           |          3 |        155 |         16 |         73 |        244 |
| ressurser/entity/NPC                                                                                                                                               |          3 |        181 |         12 |         74 |        267 |
| ressurser/entity/spiller                                                                                                                                           |          1 |        203 |         41 |        108 |        352 |
| ressurser/entityFactory                                                                                                                                            |          1 |         13 |          4 |          8 |         25 |
| ressurser/enviroment                                                                                                                                               |          3 |        207 |         21 |         96 |        324 |
| ressurser/itemBar                                                                                                                                                  |          1 |         68 |          0 |         22 |         90 |
| ressurser/main                                                                                                                                                     |         28 |      2,493 |        268 |      1,079 |      3,840 |
| ressurser/main (Files)                                                                                                                                             |         10 |      1,038 |         98 |        441 |      1,577 |
| ressurser/main/GUIMenu                                                                                                                                             |         12 |        613 |         32 |        294 |        939 |
| ressurser/main/TestGenerasjon                                                                                                                                      |          1 |        296 |         35 |        123 |        454 |
| ressurser/main/interactions                                                                                                                                        |          5 |        546 |        103 |        221 |        870 |
| ressurser/meny                                                                                                                                                     |         22 |        693 |         21 |        312 |      1,026 |
| ressurser/meny (Files)                                                                                                                                             |          7 |        333 |          6 |        136 |        475 |
| ressurser/meny/items                                                                                                                                               |         15 |        360 |         15 |        176 |        551 |
| ressurser/meny/items (Files)                                                                                                                                       |          1 |        105 |          5 |         41 |        151 |
| ressurser/meny/items/equipments                                                                                                                                    |          7 |        144 |          2 |         68 |        214 |
| ressurser/meny/items/materials                                                                                                                                     |          2 |         35 |          3 |         28 |         66 |
| ressurser/meny/items/resources                                                                                                                                     |          5 |         76 |          5 |         39 |        120 |
| ressurser/objects                                                                                                                                                  |         25 |      1,044 |         62 |        517 |      1,623 |
| ressurser/sprites                                                                                                                                                  |          1 |         75 |         27 |         43 |        145 |
| ressurser/tileSpriteGenerator                                                                                                                                      |          1 |        254 |          8 |         94 |        356 |
| ressurser/worldGeneration                                                                                                                                          |          9 |      1,996 |        248 |        489 |      2,733 |
| ressurser/worldGeneration (Files)                                                                                                                                  |          3 |      1,526 |        229 |        335 |      2,090 |
| ressurser/worldGeneration/dungeonGenerator                                                                                                                         |          6 |        470 |         19 |        154 |        643 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                                           | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/Test.class                                                             | Java     |          7 |          0 |          0 |          7 |
| /Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/Test.java                                                              | Java     |          5 |          0 |          1 |          6 |
| /Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/TestVannGenerasjon.java                                                | Java     |         84 |          0 |         21 |        105 |
| /Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/Tile.java                                                              | Java     |         24 |          6 |         24 |         54 |
| /Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/Tiles/TileCreationRun.java                                   | Java     |         27 |          0 |         11 |         38 |
| /Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/Tiles/TileFactory.java                                       | Java     |         93 |         62 |         50 |        205 |
| /Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/Tiles/TileManager.java                                       | Java     |        186 |         17 |        108 |        311 |
| /Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/BaseEntity.java                                   | Java     |        124 |         21 |         59 |        204 |
| /Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/BaseEntityCollection.java                         | Java     |         11 |          2 |         16 |         29 |
| /Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/BaseEntityHandler.java                            | Java     |         11 |          0 |         10 |         21 |
| /Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/Entity.java                                       | Java     |         12 |          4 |          9 |         25 |
| /Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/baseEntity/HitBox.java                                       | Java     |         62 |         19 |         44 |        125 |
